tweet_id,tweet_text
18,"RT @Sandeep84206831: #कल_बेरोजगार_दिवस_है Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as Natio…"
19,"RT @ANI: #WATCH | ""People who were after Central Vista Project would be conveniently quiet on this, which is also part of Centra Vista... T…"
20,RT @ANI: Chief of Defence Staff General Bipin Rawat performs 'puja' ahead of the inauguration of Defence Offices Complexes at Delhi's Kastu…
21,RT @RanaAyyub: The national spokesperson of Prime Minister Narendra Modi's BJP endorses a fake twitter account that abuses&amp; slanders my fat…
22,"RT @Vikas_Kaha_Hai: #कल_बेरोजगार_दिवस_है
To All Bjp fools
Have some shame before you Celebrate Modi Birthday

Narendra Modi is destroying I…"
23,"What better way to celebrate our Hon PM Sri Narendra Modi ji Birthday 🎉.Setting new Global records of vaccination,… https://t.co/hw6RfAfmkT"
24,RT @byadavbjp: The 63rd Foundation Day of Dattopant Thengadi National Board for Workers Education and Development is being celebrated as #W…
25,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…"
26,"RT @mohitIndia143: In India, the ModiGovernment failed to provide dignified jobs to the youth of the state. Now youth of India is raising t…"
27,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…"
28,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…"
29,RT @ANI: Chief of Defence Staff General Bipin Rawat performs 'puja' ahead of the inauguration of Defence Offices Complexes at Delhi's Kastu…
30,"RT @Sandeep84206831: #कल_बेरोजगार_दिवस_है Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as Natio…"
31,"RT @qraqram: #FreedomForKashmir
In connection with Pakistan Day celebrations, an unusual and unexpected letter couched in diplomatic langua…"
32,"RT @Ananth_Krishna_: Narendra Modi's TIME 100 profile says he has ""eroded the rights of the Muslim Minorities"" and ""intimidated and impriso…"
33,RT @VinaySrivaastav: Let us work together in 'Celebrate Prime Minister Shri Narendra Modi Ji's Birthday with his Best Photo' event &amp; make i…
34,"RT @SRlalaland: #FreedomForKashmir 
@SRlalaland 
@WeAreVOIK 

India flooded the Kashmir valley with troops, restricted movements and cut of…"
35,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…"
36,"RT @Aish17aer: Which is your favourite picture of Modi ji? 
Post and write why.

Celebrate Prime Minister Shri Narendra Modi Ji's Birthday…"
37,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…"
38,RT @JaganNKaushik: @AAshaRathod @AjitsinhJagirda @sureshseshadri1 @swetamishraa @NmN79621443 @SanskarBarot @Ravisha23624235 @chimnibai @kai…
39,"RT @ANI: #WATCH | ""People who were after Central Vista Project would be conveniently quiet on this, which is also part of Centra Vista... T…"
40,"RT @Priya4423: In India, the ModiGovernment failed to provide dignified jobs to the youth of the state. Now youth of India is raising their…"
41,RT @DaljeetGrewal80: Freedom of Expression Is a Joke in the world’s largest democracy because we got .@India_NHRC and Dictatorial Narendra…
42,"RT @PolitiCrooks: It is your pathetic minister who said ""not even a comma is changed in history books in 4 years""... What is it you have do…"
43,"RT @Sumitrabjp: Govt always working for empowerment of farmers: PM Narendra Modi in Aligarh
 https://t.co/neJY0tt18o https://t.co/z5SROGnX8M"
44,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…"
45,RT @byadavbjp: The 63rd Foundation Day of Dattopant Thengadi National Board for Workers Education and Development is being celebrated as #W…
46,RT @BJP4India: Dial 1800117800 to share your ideas and suggestions for PM Shri @narendramodi's #MannKiBaat programme on 26th September 2021…
47,"RT @ANI: #WATCH | ""People who were after Central Vista Project would be conveniently quiet on this, which is also part of Centra Vista... T…"
48,"RT @ANI: #WATCH | ""People who were after Central Vista Project would be conveniently quiet on this, which is also part of Centra Vista... T…"
49,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…"
50,"RT @Sandeep84206831: #कल_बेरोजगार_दिवस_है Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as Natio…"
51,RT @Karan_Singhs: Breaking: India's top science agency tailored its Covid-19 findings to fit Prime Minister Narendra Modi's narrative on th…
52,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…"
53,"RT @ShivamK53298813: In India, the ModiGovernment failed to provide dignified jobs to the youth of the state. Now youth of India is raising…"
54,RT @byadavbjp: The 63rd Foundation Day of Dattopant Thengadi National Board for Workers Education and Development is being celebrated as #W…
55,"RT @ANI: #WATCH | ""People who were after Central Vista Project would be conveniently quiet on this, which is also part of Centra Vista... T…"
56,"#FreedomForKashmir
Still, the line of communication between the two countries over Kashmir remained open despite te… https://t.co/Mvb4Qyn4ph"
57,"RT @Aleeha__Malik: #FreedomForKashmir

After stripping the Kashmiris of their limited autonomy, the Narendra Modi government is now trying…"
58,"RT @Priya4423: In India, the ModiGovernment failed to provide dignified jobs to the youth of the state. Now youth of India is raising their…"
59,"RT @Priya4423: In India, the ModiGovernment failed to provide dignified jobs to the youth of the state. Now youth of India is raising their…"
60,"RT @itx__falcon: #FreedomForKashmir

In connection with Pakistan Day celebrations, an unusual and unexpected letter couched in diplomatic l…"
61,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…"
62,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…"
63,"RT @Priya4423: In India, the ModiGovernment failed to provide dignified jobs to the youth of the state. Now youth of India is raising their…"
64,RT @ANI: Chief of Defence Staff General Bipin Rawat performs 'puja' ahead of the inauguration of Defence Offices Complexes at Delhi's Kastu…
65,"RT @saljokS1: #FreedomForKashmir
After stripping the Kashmiris of their limited autonomy, the Narendra Modi government is now trying to alt…"
66,"RT @SRlalaland: #FreedomForKashmir 
@SRlalaland 
@WeAreVOIK 

The state has been under lockdown. The Narendra Modi government imposed a swe…"
67,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…"
68,RT @syedkhalid4488: Submitted Memorandum  to Sri Narendra Modi Through Davangere DC at DC Office and Demanded to Fullfill His Promises Made…
69,"RT @Jaspree72749562: #Conference @YogAayog_HRY organises Two days Hybrid conference with Govt. College of Yoga Education and Health, Chandi…"
70,RT @Karan_Singhs: Breaking: India's top science agency tailored its Covid-19 findings to fit Prime Minister Narendra Modi's narrative on th…
71,"RT @ANI: #WATCH | ""People who were after Central Vista Project would be conveniently quiet on this, which is also part of Centra Vista... T…"
72,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…"
73,"RT @ANI: #WATCH | ""People who were after Central Vista Project would be conveniently quiet on this, which is also part of Centra Vista... T…"
74,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…"
75,"RT @saljokS1: #FreedomForKashmir
After stripping the Kashmiris of their limited autonomy, the Narendra Modi government is now trying to alt…"
76,"RT @saljokS1: #FreedomForKashmir
After stripping the Kashmiris of their limited autonomy, the Narendra Modi government is now trying to alt…"
77,"RT @Anurag_Office: I get motivation from you all: PM Narendra Modi to India's Tokyo 2020 Paralympians
https://t.co/qvnNzGKHGj

via NaMo App…"
78,RT @saraajyoti: On the occasion of Prime minister Shri Narendra Modi Ji @YogAayog_HRY organises  conference for Management of post COVID-19…
79,"RT @Pak_Army_313: #FreedomForKashmir 
India flooded the Kashmir valley with troops, restricted movements and cut off communication as Prime…"
80,"RT @timesofindia: Bihar man refuses to return money mistakenly sent by bank, held 

""I thought the money had been sent by PM Narendra Modi…"
81,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…"
82,"#FreedomForKashmir
After stripping the Kashmiris of their limited autonomy, the Narendra Modi government is now try… https://t.co/5fpVJFKmeF"
83,"@BJP4Assam

Democracy is not just constitutional structure but a spirit, it's 'jeevan dhara': PM Narendra Modi at S… https://t.co/Anb8HFDIpo"
84,RT @byadavbjp: The 63rd Foundation Day of Dattopant Thengadi National Board for Workers Education and Development is being celebrated as #W…
85,RT @ANI: Chief of Defence Staff General Bipin Rawat performs 'puja' ahead of the inauguration of Defence Offices Complexes at Delhi's Kastu…
86,"RT @ANI: #WATCH | ""People who were after Central Vista Project would be conveniently quiet on this, which is also part of Centra Vista... T…"
87,"RT @prem_pareek1985: PM to inaugurate the Defence Offices Complexes at Kasturba Gandhi Marg and Africa Avenue on 16 September
https://t.co/…"
88,"RT @Pak_Army_313: #FreedomForKashmir 
Narendra Modi government imposed a sweeping communications blackout and a curfew that was so draconia…"
89,RT @jdhankhar1: There will be tree plantation on Sept 17 at 5.40 am by WB Governor Shri Jagdeep Dhankhar and Smt. Sudesh Dhankhar at Raj Bh…
90,RT @jdhankhar1: There will be tree plantation on Sept 17 at 5.40 am by WB Governor Shri Jagdeep Dhankhar and Smt. Sudesh Dhankhar at Raj Bh…
91,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…"
92,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…"
93,"Democracy is not just constitutional structure but a spirit, it's 'jeevan dhara': PM Narendra Modi at Sansad TV lau… https://t.co/ugEJGc3Y0D"
94,"RT @Ananth_Krishna_: Narendra Modi's TIME 100 profile says he has ""eroded the rights of the Muslim Minorities"" and ""intimidated and impriso…"
95,"RT @SRlalaland: #FreedomForKashmir 
@SRlalaland 
@WeAreVOIK 

The state has been under lockdown. The Narendra Modi government imposed a swe…"
96,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…"
97,"RT @Sajjad_642: #FreedomForKashmir
Prime Minister Imran said he couldn't initially understand why Indian Prime Minister Narendra Modi did n…"
98,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…"
99,"RT @itx__falcon: #FreedomForKashmir

In connection with Pakistan Day celebrations, an unusual and unexpected letter couched in diplomatic l…"
100,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…"
